-133.9	-3.1	0.4
-133.8	-3.1	0.4
-133.7	-3	0.4
-133.7	-3.1	0.4
-133.7	-3.2	0.4
-133.7	-3.3	0.3
-133.7	-3.4	0.3
-133.7	-3.4	0.3
-133.7	-3.5	0.4
-133.7	-3.1	0.5
-133.8	-2.4	0.8
-133.9	-1.8	1
-133.9	-1.3	1
-134	-1.6	0.9
-134	-2.9	0.5
-134	-3.6	0.4
-134	-4.2	0.3
-133.9	-4.2	0.3
-133.8	-4.4	0.2
-133.8	-4.5	0.1
-133.8	-4.2	0.2
-133.8	-3.6	0.4
-133.9	-2.9	0.7
-133.9	-2.5	0.8
-133.9	-2.5	0.8
-133.9	-3.2	0.5
-134	-3.8	0.1
-133.9	-4.3	0.1
-133.9	-4.7	0
-133.9	-5.2	-0.1
-133.8	-4.7	0.1
-134	-2.9	0.6
-134.4	0	1.4
-134.6	0.7	1.3
-134.5	0	1.1
-134.3	-0.8	0.7
-134.2	-3.6	0.1
-134.1	-6.6	-0.1
-133.9	-8	-0.4
-133.9	-7.7	-0.5
-133.9	-6.4	-0.5
-133.9	-3.7	-0.1
-133.7	-1.2	0.5
-133.9	-0.7	0.6
-134.1	-2.4	0.2
-134	-5.2	-0.3
-133.9	-7.2	-0.6
-133.7	-7.8	-0.8
-133.7	-7.1	-0.8
-133.8	-4.7	-0.6
-133.7	-3.6	-0.4
-133.7	-3.1	-0.4
-133.7	-3.9	-0.7
-133.6	-6.3	-1.2
-133.7	-6.9	-1.5
-133.7	-7.1	-1.5
-133.7	-5.6	-1.2
-133.8	-6.9	-1.4
-133.3	-6.1	-1.2
-133.2	-4.6	-0.9
-133.6	-3.6	-0.8
-133.6	-3.1	-0.7
-133.7	-3.2	-0.8
-133.8	-3.2	-0.8
-134	-3.9	-1.1
-133.9	-5.3	-1.4
-133.9	-6.6	-1.6
-133.9	-7.8	-1.8
-133.9	-7.4	-1.7
-133.9	-6.6	-1.6
-133.9	-5.3	-1.3
-133.8	-3.7	-0.9
-133.9	-3.2	-0.8
-133.8	-3.7	-0.9
-133.6	-4.6	-1.1
-133.6	-6.1	-1.3
-133.7	-6.7	-1.4
-133.7	-7.6	-1.5
-133.7	-8	-1.8
-133.7	-7.9	-1.8
-133.6	-8	-1.9
-133.6	-7.9	-2
-133.4	-7.9	-2
-133.4	-8.2	-2.1
-133.2	-8.2	-2.1
